name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
"Piano Concerto No. 1 in C Major, Op. 15: III. Rondo. Allegro","['Ludwig van Beethoven', 'Glenn Gould', 'Vladimir Golschmann', 'Columbia Symphony Orchestra']",545013.0,0.963,0.322,0.288,0.903,0.0659,-17.344,0.0321,149.921,0.365,1,0,14,0,1957-01-01,presto,long
My Happiness,['Marty Robbins'],153093.0,0.892,0.415,0.213,8.66E-4,0.123,-16.441,0.0332,73.233,0.179,1,0,9,0,1957-01-01,lento,short
Y Hablame - Bolero,['Javier Solís'],162040.0,0.868,0.51,0.217,1.2E-4,0.331,-15.11,0.0308,98.596,0.389,1,9,6,0,1957-01-01,moderato,short
"Keyboard Concerto No. 2 in E Major, BWV 1053: I. ?","['Johann Sebastian Bach', 'Glenn Gould', 'Columbia Symphony Orchestra', 'Vladimir Golschmann']",481160.0,0.977,0.409,0.431,0.241,0.222,-12.844,0.0379,178.44,0.887,0,1,17,0,1957-01-01,presto,long
"Piano Concerto No. 1 in C Major, Op. 15: II. Largo","['Ludwig van Beethoven', 'Glenn Gould', 'Vladimir Golschmann', 'Columbia Symphony Orchestra']",727440.0,0.972,0.316,0.0329,0.827,0.118,-23.408,0.0417,125.368,0.0774,1,8,14,0,1957-01-01,presto,long
Nevertheless (I'm In Love With You),['Dean Martin'],174160.0,0.914,0.558,0.0757,1.32E-5,0.156,-17.56,0.0389,75.977,0.4,0,4,9,0,1957-01-01,lento,short
August Bells,['Martin Denny'],136720.0,0.849,0.438,0.452,0.927,0.302,-15.691,0.0518,153.348,0.485,0,0,8,0,1957-01-01,presto,short
Domingo - Rudy Van Gelder Edition/2007 Digital Remaster,['Lee Morgan'],561520.0,0.28,0.556,0.761,7.02E-4,0.0821,-7.197,0.0564,130.328,0.74,0,10,11,0,1957-04-01,presto,long
When Your Lover Has Gone,['Keely Smith'],189333.0,0.738,0.413,0.475,1.4E-6,0.104,-8.921,0.0365,96.826,0.505,0,5,9,0,1957-02-02,moderato,medium
Summertime - 1997 Remaster,['Charles Mingus'],280653.0,0.223,0.549,0.667,0.306,0.0753,-10.115,0.0761,99.118,0.438,0,1,13,0,1957-01-01,moderato,medium
"Piano Concerto No. 4 in G Major, Op. 58: I. Allegro moderato","['Ludwig van Beethoven', 'Leonard Bernstein', 'Glenn Gould', 'New York Philharmonic']",1159013.0,0.953,0.273,0.241,0.93,0.0694,-18.1,0.0346,95.269,0.0849,1,7,14,0,1957-01-01,moderato,long
I'll Build A Stairway To Paradise,['Sarah Vaughan'],164778.0,0.827,0.536,0.418,0.0,0.46,-8.274,0.0339,94.742,0.613,1,1,10,0,1957-01-01,moderato,short
Roccus,['Lee Morgan'],498653.0,0.811,0.505,0.515,0.102,0.109,-8.541,0.0372,136.708,0.5,0,2,11,0,1957-04-01,presto,long
You Were Meant For Me,['Jackie Gleason'],194280.0,0.941,0.0912,0.151,0.575,0.105,-18.189,0.0398,172.44,0.0803,0,7,8,0,1957-01-01,presto,medium
Rhapsodia Del Maravilloso,['Sabu'],281840.0,0.819,0.568,0.586,0.881,0.202,-11.491,0.0597,119.796,0.831,1,7,14,0,1957-01-01,moderato,medium
Once In A While,['Dean Martin'],176107.0,0.946,0.439,0.0815,0.0116,0.115,-17.42,0.0357,76.37,0.229,0,2,10,0,1957-01-01,lento,short
Laconia,['Cliff Jordan'],426027.0,0.876,0.547,0.265,0.0243,0.0693,-13.776,0.0556,78.537,0.517,1,10,10,0,1957-12-01,lento,long
Think Pink - Alternate Version,['Kay Thompson'],392293.0,0.951,0.529,0.255,0.0,0.556,-13.535,0.16,81.517,0.509,1,1,11,0,1957-02-13,lento,long
Mambo In Africa,['Maya Angelou'],97653.0,0.967,0.781,0.367,6.92E-4,0.0867,-14.138,0.309,83.017,0.565,1,5,7,0,1957-01-01,lento,short
I Gotta Right To Sing The Blues,['Judy Garland'],173493.0,0.866,0.324,0.18,1.83E-6,0.0714,-10.803,0.03,145.81,0.188,1,7,10,0,1957-05-06,presto,short
I Gotta Right To Sing The Blues - 2002 Remastered,['Julie London'],178560.0,0.933,0.438,0.147,1.41E-5,0.0946,-10.682,0.0344,112.519,0.216,1,10,9,0,1957-06-01,moderato,short
Some of These Days,"\"['John \"\"Paul\"\" Blackman']\"",81627.0,0.444,0.607,0.939,0.887,0.193,-8.887,0.0491,124.016,0.443,1,5,13,0,1957-01-01,presto,short
Stockings And Shoes,['Eddie Cochran'],132733.0,0.638,0.663,0.605,0.0,0.293,-8.362,0.036,82.3,0.803,1,7,11,0,1957-11-01,lento,short
Blues for Pablo - Mono Version,['Miles Davis'],322960.0,0.963,0.32,0.067,0.925,0.137,-18.676,0.0316,136.014,0.0821,1,10,12,0,1957-01-01,presto,long
Dark Is The Night (C'est Fini),['Jackie Gleason'],184320.0,0.877,0.153,0.299,0.809,0.242,-12.073,0.0344,99.35,0.049,1,10,8,0,1957-01-01,moderato,medium
"Keyboard Concerto in D Major, BWV 1054: I. -","['Johann Sebastian Bach', 'Glenn Gould', 'Vladimir Golschmann', 'Columbia Symphony Orchestra']",468453.0,0.989,0.488,0.402,0.714,0.0936,-14.265,0.0342,92.909,0.712,1,2,17,0,1957-01-01,moderato,long
Do Nothing Till You Hear From Me,['Ella Fitzgerald'],462427.0,0.958,0.445,0.0604,2.76E-6,0.151,-17.042,0.0417,129.281,0.221,1,0,12,0,1957-01-01,presto,long
Boogie Woogie,['The Ben Webster Quintet'],188667.0,0.927,0.753,0.317,0.891,0.0634,-17.268,0.0359,129.39,0.65,1,0,13,0,1957-01-01,presto,medium
Crepuscule With Nellie (Takes 4 & 5),['Thelonious Monk Septet'],279587.0,0.946,0.5,0.104,0.443,0.0909,-15.085,0.054,181.245,0.118,0,10,12,0,1957-01-01,presto,medium
Why Don't I - Rudy Van Gelder Edition/1999 Remaster/24 Bit Mastering,['Sonny Rollins'],345400.0,0.689,0.472,0.702,4.37E-4,0.345,-6.537,0.0333,101.053,0.746,0,7,12,0,1957-01-01,moderato,long
I Want To Be Happy,['June Christy'],83533.0,0.664,0.563,0.465,0.0,0.102,-13.682,0.106,130.688,0.429,0,9,10,0,1957-05-10,presto,short
Just By Myself - 2006 Digital Remaster,['Lee Morgan'],562547.0,0.559,0.4,0.476,1.07E-5,0.101,-9.235,0.0484,172.139,0.72,1,5,10,0,1958-06-01,presto,long
Ornithology,['Barry Harris Trio'],211000.0,0.812,0.621,0.457,0.823,0.132,-12.017,0.0425,112.824,0.561,1,2,10,0,1958-07-31,moderato,medium
St. Louis Blues,['Gil Evans'],321107.0,0.787,0.373,0.224,8.34E-4,0.309,-16.969,0.0302,89.583,0.396,0,9,12,0,1958-09-01,lento,long
The Skaters' Waltz,['Mantovani'],172267.0,0.314,0.234,0.255,0.775,0.284,-12.706,0.0312,97.911,0.233,1,4,13,0,1958-11-28,moderato,short
Mi Amor Buenas Noches,"['La Sonora Matancera', 'Celia Cruz']",148773.0,0.74,0.778,0.224,0.0,0.346,-12.77,0.0481,118.021,0.962,1,10,15,0,1958-12-31,moderato,short
Let Yourself Go,"['Ella Fitzgerald', 'Paul Weston And His Orchestra']",139667.0,0.77,0.593,0.199,0.0,0.0982,-11.102,0.0795,155.754,0.689,0,5,13,0,1958-01-01,presto,short
"I've Got Papers On You, Baby",['B.B. King'],142507.0,0.72,0.474,0.805,0.0,0.106,-5.465,0.0609,75.391,0.922,1,3,9,0,1958-01-01,lento,short
Polka Dots And Moonbeams,['Nelson Riddle'],193000.0,0.165,0.165,0.27,0.954,0.144,-18.02,0.0406,48.734,0.149,1,5,9,0,1958-01-01,lento,medium
You Say You Care,['John Coltrane'],373960.0,0.866,0.532,0.457,1.73E-4,0.0971,-10.175,0.0498,107.501,0.541,0,2,7,0,1958-01-01,moderato,long
